GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SoftwareEngIII_assignment2,default,Module,0,49,0,0,0,21,0,10,0,10
SoftwareEngIII_assignment2,default,Student,0,86,0,0,0,30,0,15,0,15
SoftwareEngIII_assignment2,default,CourseProgramme,0,59,0,0,0,25,0,12,0,12
